"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
9.732770417E-1;-4.759200847E0;5.236174600E0;-5.512701123E0;8.969804391E0
9.832620416E-1;-3.796280789E0;4.611169227E0;-6.138473650E0;8.564781855E0
9.932460416E-1;-3.746926488E0;2.251407822E0;-6.635903302E0;7.946288940E0
1.003230042E0;-3.459592264E0;2.177736998E-2;-7.664830824E0;8.409452090E0
1.013214042E0;-2.496766638E0;-2.124370045E0;-7.450669534E0;8.139979622E0
1.023198042E0;-1.609444647E0;-3.708714641E0;-7.404890513E0;8.436662840E0
1.033183042E0;-7.405872846E-1;-4.960278407E0;-7.313525430E0;8.867947092E0
1.043167042E0;1.094592923E-1;-6.011023060E0;-6.990878409E0;9.220453378E0
1.053151042E0;9.499781236E-1;-6.961684431E0;-6.625830889E0;9.657595121E0
1.063135042E0;1.166533848E0;-7.812607505E0;-6.183148717E0;1.003139897E1
1.073119042E0;1.126167303E0;-7.953813086E0;-5.683747383E0;9.840547734E0
1.083103042E0;9.385631892E-1;-7.714741488E0;-5.411341978E0;9.469992560E0
1.093088042E0;5.681668917E-1;-7.352402397E0;-5.447112320E0;9.167969637E0
1.103072042E0;5.098523542E-1;-6.955716763E0;-5.871948205E0;9.117111430E0
1.113056042E0;8.865805650E-1;-7.476777352E0;-5.890125445E0;9.559382952E0
1.123040042E0;5.538982603E-1;-7.568102090E0;-5.329084518E0;9.272654114E0
1.133024042E0;1.677890691E-1;-6.955317398E0;-5.451480775E0;8.838734972E0
1.143008042E0;-2.412526095E-1;-6.256905495E0;-5.431524813E0;8.289060923E0
1.152993042E0;-4.991615975E-1;-5.752246930E0;-5.565668710E0;8.019611913E0
1.162977042E0;-6.251106226E-1;-5.363648579E0;-5.828511579E0;7.945504175E0
1.172961042E0;-6.388837391E-1;-4.996691943E0;-6.069533224E0;7.887606504E0
1.182945042E0;-5.457045570E-1;-4.710033950E0;-6.334720241E0;7.912704582E0
1.192929042E0;-4.166281486E-1;-4.516823233E0;-6.522918724E0;7.945044985E0
1.202913042E0;-3.007655704E-1;-4.439711323E0;-6.695681727E0;8.039505603E0
1.212898042E0;-2.520778705E-1;-4.336268815E0;-6.723389928E0;8.004420192E0
1.222882042E0;-1.945763335E-1;-4.144370799E0;-6.664795564E0;7.850679537E0
1.232866042E0;-2.002145112E-1;-3.925640495E0;-6.613499696E0;7.693446391E0
1.242850042E0;-4.602957398E-2;-3.775417339E0;-6.331675011E0;7.371974176E0
1.252834042E0;8.753603429E-2;-3.605746343E0;-5.887669029E0;6.904615547E0
1.262819042E0;1.054118496E-1;-3.276769127E0;-5.493135170E0;6.397097901E0
1.272803042E0;1.443627843E-1;-2.792366486E0;-5.021107576E0;5.747144726E0
1.282787042E0;1.745668691E-1;-2.277669421E0;-4.301982497E0;4.870862859E0
1.292771042E0;3.373784959E-2;-1.808274829E0;-3.378571490E0;3.832197987E0
1.302755042E0;2.518717378E-2;-1.464464396E0;-2.478384454E0;2.878833073E0
1.312739042E0;3.380304605E-2;-9.914573944E-1;-1.264256902E0;1.607008377E0
1.322724042E0;1.894263983E-2;-2.948750854E-1;-3.212518752E-2;2.972241027E-1
1.332708042E0;-3.189035968E-1;6.011393774E-1;7.928181231E-1;1.044810333E0
1.342692042E0;-1.281720781E0;1.784582496E0;1.912956362E0;2.913236154E0
1.352676042E0;-2.765859596E0;3.846979072E0;3.521696126E0;5.903521906E0
1.362660042E0;-4.140802243E0;6.359627625E0;5.447024612E0;9.341369486E0
