"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.180093332E-1,1.260246881E0,2.156308122E0,2.728200896E0,3.698779129E0
8.279623333E-1,-5.615212753E-1,1.338360712E0,7.233409220E-1,1.621646579E0
8.379153330E-1,-2.469508673E0,3.552066565E-1,-3.360517627E-1,2.517454199E0
8.478693333E-1,-3.332252771E0,-6.447672075E-1,-1.758785166E0,3.822689962E0
8.578223330E-1,-3.531435249E0,-1.546910429E0,-3.186103370E0,5.001521916E0
8.677753331E-1,-3.226835659E0,-3.280961873E0,-3.980171628E0,6.084319631E0
8.777283332E-1,-2.445571927E0,-4.663377846E0,-4.586315053E0,6.982993681E0
8.876813333E-1,-1.438881512E0,-5.333796204E0,-5.385891387E0,7.715412367E0
8.976353332E-1,-4.035444188E-1,-5.288972034E0,-6.350166830E0,8.274097658E0
9.075883334E-1,-1.662359025E-1,-5.099601184E0,-7.729675861E0,9.261827872E0
9.175413330E-1,-5.282479870E-1,-4.708840241E0,-1.002697848E1,1.109019927E1
9.274943331E-1,-2.281112847E-1,-3.861951452E0,-1.152037139E1,1.215259893E1
9.374483330E-1,1.411382642E-2,-2.906789187E0,-1.243406082E1,1.276931834E1
9.474013331E-1,-1.459048413E-1,-2.513858927E0,-1.306918187E1,1.330955633E1
9.573543333E-1,-3.244517639E-1,-2.614818707E0,-1.324085612E1,1.350047468E1
9.673073329E-1,2.599455732E-1,-2.916464868E0,-1.298164671E1,1.330776053E1
9.772613333E-1,1.067042158E0,-3.164940250E0,-1.220253563E1,1.265137548E1
9.872143329E-1,3.053594646E0,-2.427053210E0,-9.649312082E0,1.040789370E1
9.971673330E-1,7.054411331E0,-4.708882633E-1,-8.401315117E0,1.098037115E1
1.007120333E0,8.047275565E0,2.087830210E-1,-8.598814182E0,1.177887260E1
1.017073333E0,7.028986468E0,-6.519148439E-2,-8.342774549E0,1.090929823E1
1.027027333E0,4.218650318E0,-1.347078326E0,-8.942474926E0,9.978952266E0
1.036980333E0,2.751437731E0,-1.919038343E0,-8.589686678E0,9.221487677E0
1.046933333E0,2.808027084E0,-1.641523056E0,-8.243666582E0,8.862147187E0
1.056886333E0,3.055299402E0,-1.136678550E0,-8.182213515E0,8.807696099E0
1.066840333E0,2.820809682E0,-1.004925579E0,-7.960276013E0,8.504871362E0
1.076793333E0,2.461816369E0,-1.249012626E0,-7.935243498E0,8.401705883E0
1.086746333E0,5.818472202E-1,-1.886511160E0,-6.994432347E0,7.267706268E0
1.096699333E0,1.392134339E-1,-1.690602246E0,-6.772239906E0,6.981457561E0
1.106652333E0,9.357798415E-1,-1.777702955E0,-7.133693728E0,7.411173855E0
1.116606333E0,9.354580984E-1,-1.224873565E0,-7.822682843E0,7.973064904E0
1.126559333E0,1.237268639E-1,-6.708612844E-1,-7.731854534E0,7.761890087E0
1.136512333E0,-1.205444583E0,-1.341557677E0,-6.456626501E0,6.703797388E0
1.146465333E0,-2.631325396E0,-2.075015744E0,-4.852000837E0,5.896734334E0
1.156419333E0,-3.158792780E0,-2.323505306E0,-3.388821074E0,5.182736440E0
1.166372333E0,-2.881933258E0,-1.404504562E0,-1.081802139E0,3.383558517E0
1.176325333E0,-1.653737597E0,1.316981245E0,2.174515767E0,3.032788562E0
1.186278333E0,-3.227383836E-1,5.113276067E0,5.763155496E0,7.711271845E0
1.196231333E0,5.108423975E-1,9.841956203E0,1.144409680E1,1.510272867E1
1.206185333E0,9.072074953E-1,1.317103335E1,2.206861043E1,2.571619551E1
1.216138333E0,1.217443070E0,1.310000488E1,3.312768095E1,3.564457238E1
1.226091333E0,1.139477904E0,1.161219606E1,4.038633026E1,4.203804442E1
1.236044333E0,1.326884528E0,1.035190474E1,4.005701039E1,4.139428265E1
1.245998333E0,3.382925912E0,8.173129281E0,3.487668606E1,3.598093190E1
1.255951333E0,5.934433891E0,4.797695991E0,2.836197566E1,2.937068361E1
1.265904333E0,5.790939710E0,3.069969481E0,2.150239647E1,2.247916256E1
1.275857333E0,3.220682634E0,3.990087629E0,1.661455104E1,1.738783776E1
1.285810333E0,6.192489351E-1,5.127266700E0,1.530273873E1,1.615073205E1
1.295764333E0,-4.797849481E-1,5.448474721E0,1.324724128E1,1.433197376E1
1.305717333E0,1.175923307E-1,5.766833979E0,9.351750201E0,1.098751264E1
1.315670333E0,1.084638477E0,5.056716535E0,4.883210351E0,7.112845146E0
1.325623333E0,1.178313210E0,2.627416825E0,3.635360152E-1,2.902395498E0
1.335577333E0,4.437789635E-1,-2.271736836E-1,-2.724518904E0,2.769756471E0
1.345530333E0,-1.274668162E-1,-2.779443555E0,-4.099413312E0,4.954467052E0
1.355483333E0,-3.337720795E-1,-4.760211538E0,-4.861212541E0,6.811931081E0
1.365436333E0,-6.224996947E-1,-5.390360999E0,-7.143451561E0,8.970640879E0
1.375389333E0,-1.055474319E0,-5.327022205E0,-1.005553862E1,1.142825658E1
1.385343333E0,-6.681965621E-1,-5.238827482E0,-1.202669115E1,1.313518557E1
1.395296333E0,-1.463119537E-2,-4.930212024E0,-1.375011118E1,1.460728456E1
1.405249333E0,1.822995560E-1,-3.928794483E0,-1.500653983E1,1.551337800E1
1.415202333E0,6.228485176E-2,-2.367131529E0,-1.606097057E1,1.623459167E1
1.425156333E0,-8.926871046E-2,-1.500272160E0,-1.675368436E1,1.682096089E1
1.435109333E0,-5.206949924E-1,-1.565580881E0,-1.710134928E1,1.718075417E1
1.445062333E0,-1.136860691E0,-8.782427278E-1,-1.645867011E1,1.652124645E1
1.455015333E0,-9.589578389E-1,-7.206400931E-1,-1.493047691E1,1.497858682E1
1.464969333E0,-5.540904875E-1,-1.444156724E0,-1.346871276E1,1.355724265E1
1.474922333E0,-6.660556041E-1,-2.964859933E0,-1.255591328E1,1.291839707E1
1.484875333E0,-8.637844639E-1,-4.477645134E0,-1.212714164E1,1.295619519E1
1.494828333E0,-1.020583837E0,-4.991194975E0,-1.190467613E1,1.294893557E1
1.504781333E0,-1.346469046E0,-4.278499494E0,-1.153396149E1,1.237541128E1
1.514735333E0,-1.516118407E0,-3.663300487E0,-1.058080336E1,1.129919400E1
1.524688333E0,-1.840233664E0,-3.140637760E0,-1.014835030E1,1.078142288E1
1.534641333E0,-1.371179964E0,-3.165878728E0,-1.044342302E1,1.099854568E1
1.544594333E0,-1.295011063E0,-3.061750050E0,-9.951548227E0,1.049212462E1
1.554548333E0,-1.119508786E0,-2.723981545E0,-8.584412490E0,9.075544786E0
1.564501333E0,-5.350289299E-1,-2.602486052E0,-7.580925618E0,8.033033228E0
1.574454333E0,-2.875656638E-1,-2.304070477E0,-7.621043950E0,7.966915693E0
1.584407333E0,-4.236987479E-1,-2.086857087E0,-8.099185392E0,8.374443094E0
1.594360333E0,-7.842577994E-1,-1.844434011E0,-7.813865826E0,8.066814505E0
1.604314333E0,-1.016984949E0,-1.522836419E0,-7.618295758E0,7.835286811E0
1.614267333E0,-8.079321523E-1,-1.540477469E0,-8.923061001E0,9.091030900E0
1.624220333E0,-4.328630890E-1,-2.106332554E0,-9.671153187E0,9.907331187E0
1.634173333E0,-4.061275725E-1,-2.936562917E0,-8.858020082E0,9.340923999E0
1.644127333E0,-7.101617365E-1,-3.404038745E0,-6.620601139E0,7.478246380E0
1.654080333E0,-8.803037252E-1,-3.271322153E0,-2.908951195E0,4.465252550E0
1.664033333E0,-2.608467753E-1,-3.176221283E0,8.184873998E-2,3.187965166E0
1.673986333E0,9.461712939E-1,-2.457704022E0,1.614902145E0,3.089248795E0
1.683939333E0,2.255149309E0,-1.179441723E0,2.041275263E0,3.262450901E0
1.693889291E0,3.043635376E0,-3.423413202E-2,3.374161520E0,4.544211069E0
1.703842292E0,3.239048738E0,2.546096966E0,7.930907203E0,8.937188347E0
1.713795291E0,3.947277824E0,5.636544566E0,1.759707739E1,1.889467569E1
1.723748291E0,4.792942205E0,8.336146730E0,2.873434272E1,3.030059552E1
1.733702291E0,5.709601432E0,8.142713819E0,3.663998410E1,3.796566570E1
1.743655291E0,6.202421139E0,3.862653703E0,4.039018474E1,4.104579327E1
1.753608292E0,6.337559064E0,-6.758800958E-1,3.962914857E1,4.013839665E1
1.763561292E0,5.197364291E0,-2.588836604E0,3.749103699E1,3.793800897E1
1.773514291E0,4.788583106E0,-2.941941771E0,3.512252405E1,3.556933012E1
1.783468292E0,3.532004475E0,-2.219627766E0,3.171890192E1,3.199203873E1
1.793421291E0,2.560920827E0,-3.148787025E-1,2.804865377E1,2.816708083E1
1.803374291E0,1.714844802E0,1.682250375E0,2.385434308E1,2.397499411E1
1.813327292E0,9.496809389E-1,2.658554710E0,1.887568336E1,1.908562887E1
1.823281291E0,4.422481625E-1,2.416833300E0,1.334021903E1,1.356459031E1
1.833234292E0,3.103329308E-2,1.288511006E0,9.183004820E0,9.273014677E0
1.843187292E0,-2.929357101E-1,1.978208072E-1,4.019135719E0,4.034649468E0
1.853140291E0,-5.757236505E-1,-8.504713771E-1,-2.092172352E0,2.330653221E0
1.863093291E0,-6.461867653E-1,-1.912909146E0,-7.261437848E0,7.536926320E0
1.873047291E0,-7.613513321E-1,-3.287858663E0,-1.119451776E1,1.169217252E1
1.883000291E0,9.677258849E-2,-2.539300747E0,-1.357382933E1,1.380964358E1
1.892953292E0,7.783194403E-1,-1.905807264E0,-1.506729474E1,1.520727633E1
1.902906292E0,7.004053648E-1,-1.665282779E0,-1.603471891E1,1.613616884E1
1.912860292E0,1.322806826E-1,-4.770623383E-1,-1.729639602E1,1.730347948E1
1.922813292E0,-6.807301419E-1,1.005265594E0,-1.907258133E1,1.911118288E1
1.932766291E0,-1.319571269E0,1.459141968E0,-1.951533952E1,1.961425094E1
1.942719291E0,-1.742319114E0,9.534905460E-1,-1.900437473E1,1.910788002E1
1.952672292E0,-1.900290123E0,-1.224102902E-1,-1.748882087E1,1.759218413E1
1.962626291E0,-1.353845455E0,-1.560094146E0,-1.582652061E1,1.596075017E1
1.972579292E0,-9.223585812E-1,-2.901698894E0,-1.432880661E1,1.464873034E1
1.982532292E0,-4.723121334E-1,-4.098844963E0,-1.283912317E1,1.348579596E1
1.992485291E0,1.196186102E-1,-4.834071812E0,-1.154339305E1,1.251528993E1
2.002439292E0,4.243006457E-1,-5.107818861E0,-1.053034773E1,1.171145029E1
2.012392291E0,5.733507042E-1,-4.916168767E0,-1.002325263E1,1.117868685E1
2.022345291E0,7.559275279E-1,-4.349759511E0,-9.838178902E0,1.078339456E1
2.032298292E0,3.925105767E-1,-3.684252230E0,-9.365438533E0,1.007170383E1
2.042251292E0,9.408169985E-3,-3.296442668E0,-8.797809548E0,9.395109133E0
2.052205292E0,-1.260319825E-1,-3.166519291E0,-8.734614011E0,9.291728063E0
2.062158292E0,-1.318846069E-1,-2.936974269E0,-8.753523906E0,9.234034448E0
2.072111291E0,-4.197966816E-1,-2.771871411E0,-8.596008688E0,9.041618535E0
2.082064291E0,-6.024816057E-1,-1.958500178E0,-8.261498251E0,8.511818865E0
2.092018291E0,-5.809037354E-1,-1.266679842E0,-8.165049598E0,8.283113057E0
2.101971291E0,-4.239097593E-1,-6.681638177E-1,-7.861921753E0,7.901642615E0
2.111924292E0,-3.053437575E-1,-4.383219033E-2,-7.632520280E0,7.638751331E0
2.121877291E0,-3.286467757E-1,-3.561334401E-2,-7.919041448E0,7.925938082E0
2.131830291E0,-3.010755459E-1,-3.885524502E-1,-8.284407642E0,8.298977616E0
2.141784291E0,-2.636748177E-1,-5.105134550E-1,-7.658944432E0,7.680467317E0
2.151737291E0,-2.503450298E-1,-5.443997508E-1,-6.501873425E0,6.529425837E0
2.161690291E0,-1.801285945E-2,-3.498123807E-1,-5.424507569E0,5.435804957E0
2.171643292E0,3.531876129E-1,-1.031826717E-1,-4.070249155E0,4.086846747E0
2.181597291E0,6.475459506E-1,-3.344437784E-1,-4.567055494E-1,8.600862502E-1
2.191550292E0,4.948981002E-1,-1.566270999E-1,4.181284856E0,4.213383347E0
2.201503291E0,1.945485592E-2,1.723004006E0,6.798913735E0,7.013868353E0
2.211456291E0,-1.499736263E-1,4.255038711E0,1.050711090E1,1.133698487E1
2.221410291E0,9.738248232E-1,6.571489790E0,1.570236902E1,1.704984474E1
2.231363291E0,3.898397148E0,9.494714624E0,2.118944180E1,2.354441653E1
2.241316292E0,6.066342983E0,1.153540458E1,2.968108646E1,3.241655394E1
2.251269292E0,7.728406430E0,1.014124711E1,3.688567709E1,3.902725116E1
2.261222291E0,9.019279858E0,6.624547425E0,3.942276525E1,4.098031793E1
2.271176292E0,8.951449233E0,2.887439581E0,3.918135944E1,4.029447454E1
2.281129291E0,8.099586511E0,1.681600749E-1,3.672516868E1,3.760810543E1
2.291082291E0,6.142691832E0,-1.121203601E-3,3.299556428E1,3.356247795E1
2.301035292E0,3.358561149E0,9.148172079E-1,2.838375069E1,2.859640059E1
2.310988292E0,5.942613707E-1,6.982046190E-1,2.355810910E1,2.357594411E1
2.320942292E0,-8.352026159E-1,2.402531742E-1,1.917602092E1,1.919570429E1
2.330895292E0,-1.030770710E0,-2.033109042E-1,1.469414649E1,1.473165858E1
2.340848291E0,-4.972553321E-1,-1.034618032E0,1.055361848E1,1.061586362E1
2.350801291E0,3.815798648E-1,-2.403077579E0,5.555768205E0,6.065224266E0
2.360755291E0,7.850455655E-1,-4.171222383E0,4.628901494E-1,4.269620592E0
2.370708291E0,8.150716026E-1,-5.778084607E0,-4.434805509E0,7.329263492E0
2.380661292E0,5.131877522E-1,-6.286382478E0,-8.805260071E0,1.083118513E1
2.390614292E0,-9.047647113E-2,-5.727168807E0,-1.311511292E1,1.431135338E1
2.400568292E0,-9.550787960E-1,-4.911836565E0,-1.728890925E1,1.799846374E1
2.410521292E0,-1.820606315E0,-4.286271906E0,-2.062281620E1,2.114207374E1
2.420474291E0,-2.329794718E0,-3.096301247E0,-2.272555914E1,2.305354774E1
2.430427291E0,-2.411648574E0,-1.548148577E0,-2.213441967E1,2.231916995E1
2.440380292E0,-2.238046934E0,8.099475414E-2,-2.147755049E1,2.159399428E1
2.450334291E0,-1.367321679E0,9.709725514E-1,-2.062695135E1,2.069501095E1
2.460287292E0,-5.923369789E-1,1.498496068E0,-1.980348095E1,1.986892577E1
2.470240292E0,1.135758637E0,1.477958601E0,-1.836015892E1,1.845453182E1
2.480193291E0,3.527674320E0,5.928341384E-1,-1.464303247E1,1.507363056E1
2.490147292E0,4.222949776E0,-1.780341218E-1,-1.123516292E1,1.200391131E1
2.500100291E0,2.785562666E0,-6.870748825E-1,-1.151698000E1,1.186896203E1
2.510053291E0,1.631077736E0,-2.647301744E0,-1.217164362E1,1.256254471E1
2.520006292E0,1.499332366E0,-5.016951376E0,-1.101761492E1,1.219859161E1
2.529959292E0,1.377119566E0,-5.878908146E0,-9.575368778E0,1.132014605E1
2.539913292E0,9.576009925E-1,-5.410599382E0,-8.408181503E0,1.004435670E1
2.549866292E0,1.653004064E0,-4.026411994E0,-7.731572698E0,8.872521195E0
2.559819291E0,3.275947593E0,-1.786206414E0,-7.544840112E0,8.417064708E0
2.569772291E0,2.789590228E0,-1.397646947E0,-6.997658256E0,7.661752521E0
2.579726291E0,1.509537366E0,-2.063467786E0,-7.270530269E0,7.706958722E0
2.589679291E0,9.091930635E-2,-1.546477151E0,-1.058987707E1,1.070258633E1
2.599632292E0,-9.904405636E-1,-6.287829664E-1,-1.137066162E1,1.143102297E1
2.609585291E0,-1.234410959E0,-5.599956637E-1,-1.162621535E1,1.170496685E1
2.619538291E0,-1.214782879E0,-9.910922357E-1,-1.132474226E1,1.143274895E1
2.629492291E0,-1.313191372E0,-1.309342881E0,-1.015144348E1,1.031943095E1
2.639445291E0,-1.165847824E0,-1.874083780E0,-8.972709124E0,9.240178580E0
2.649398291E0,-9.525145727E-1,-2.117634930E0,-8.333409648E0,8.650859961E0
2.659351292E0,-1.010057314E0,-1.961889371E0,-7.673875297E0,7.984834861E0
2.669305291E0,-7.835005850E-2,-1.868105148E0,-5.584631231E0,5.889317580E0
2.679258292E0,8.971150549E-1,-1.790825861E0,-2.391537514E0,3.119507071E0
2.689211791E0,1.591663848E0,-1.409520303E0,-6.613493264E-1,2.226549848E0
2.699164791E0,1.145695176E0,-9.039276458E-1,1.649951525E0,2.202735268E0
2.709117792E0,2.060343911E-1,3.754022815E-1,4.689499698E0,4.709010985E0
2.719071792E0,-2.864787395E-1,2.418918563E0,8.166237752E0,8.521776582E0
2.729024792E0,1.806028768E-1,5.156239654E0,1.248366275E1,1.350782219E1
2.738977791E0,1.913448113E0,7.191013398E0,1.690092076E1,1.846653947E1
2.748930791E0,3.162489390E0,7.231342814E0,2.318962692E1,2.449596813E1
2.758884791E0,2.753552084E0,5.150579549E0,2.959718125E1,3.016792430E1
2.768837791E0,1.861301913E0,3.107848037E0,3.337969126E1,3.357568991E1
2.778790792E0,1.203179372E0,1.585377215E0,3.451730917E1,3.457463946E1
2.788743792E0,1.618198513E0,-3.345651081E-1,3.294016776E1,3.298158808E1
2.798696791E0,2.032603843E0,-1.173158963E0,2.889905645E1,2.899419328E1
2.808650792E0,1.932310353E0,1.561308905E-2,2.525801163E1,2.533182225E1
2.818603791E0,1.296328880E0,1.807591436E0,2.327505708E1,2.338110642E1
2.828556791E0,2.384508430E-1,2.252535165E0,2.037166659E1,2.049720891E1
2.838509792E0,-8.214272337E-1,2.031474307E0,1.683809828E1,1.698008198E1
2.848463791E0,-1.269469841E0,2.146758303E0,1.370764637E1,1.393268437E1
2.858416792E0,-1.006650142E0,1.773394434E0,1.011287875E1,1.031642327E1
2.868369792E0,-6.192840915E-1,7.243941517E-1,5.827019954E0,5.904440805E0
2.878322791E0,4.680629983E-1,-5.980086319E-1,1.409681248E0,1.601217823E0
2.888275791E0,1.381180019E0,-1.576559613E0,-2.424262041E0,3.204722282E0
2.898229791E0,1.549198445E0,-2.486158327E0,-5.921373550E0,6.606335124E0
2.908182791E0,1.217384963E0,-3.222735884E0,-9.261718867E0,9.881674408E0
2.918135792E0,8.041152361E-1,-3.788370383E0,-1.146263598E1,1.209918903E1
