"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.877942292E0,1.495071647E-1,1.571298581E0,-1.427779550E0,2.128352900E0
1.887894291E0,1.597681510E-1,1.419682326E0,-1.498602195E0,2.070466688E0
1.897847292E0,4.568663478E-2,1.217594951E0,-1.496412413E0,1.929734397E0
1.907800292E0,-1.847728917E-1,1.113364532E0,-1.388170511E0,1.789060918E0
1.917753291E0,-4.653278536E-1,1.107046323E0,-1.282858064E0,1.757215520E0
1.927706291E0,-5.892552039E-1,1.067622056E0,-1.158824002E0,1.682234115E0
1.937658291E0,-6.086770231E-1,1.007450114E0,-9.456497222E-1,1.509866500E0
1.947611291E0,-6.029885593E-1,9.962678987E-1,-4.623504514E-1,1.252961639E0
1.957564292E0,-5.201466697E-1,1.091278136E0,2.358743405E-1,1.231696892E0
1.967517292E0,-4.307822111E-1,1.320468817E0,4.106125331E-1,1.448383189E0
1.977470291E0,-4.545856413E-1,1.372328942E0,5.042229474E-1,1.531070087E0
1.987422292E0,-4.909281331E-1,1.352373418E0,7.543919760E-1,1.624509633E0
1.997375291E0,-4.855709141E-1,1.472458125E0,8.595395315E-1,1.772771911E0
2.007328291E0,-2.834575197E-1,1.587591701E0,8.459435856E-1,1.821102997E0
2.017281292E0,6.941522062E-3,1.620937787E0,8.233955526E-1,1.818094533E0
2.027234292E0,2.971364960E-1,1.606641930E0,6.489163917E-1,1.758033240E0
2.037186292E0,4.841114491E-1,1.601993540E0,5.891385520E-1,1.774212904E0
2.047139292E0,4.325501168E-1,1.692621874E0,5.615472955E-1,1.835048712E0
2.057092291E0,8.981820256E-2,1.776313072E0,4.875975591E-1,1.844208995E0
2.067045291E0,-1.345125648E-1,1.697126715E0,4.400953639E-1,1.758413105E0
2.076998292E0,-2.738107833E-1,1.572120407E0,2.703805143E-1,1.618530365E0
2.086950291E0,-3.134242076E-1,1.387800529E0,3.230697745E-1,1.458971939E0
2.096903292E0,-2.903654203E-1,1.252146295E0,3.199795210E-1,1.324601568E0
2.106856292E0,-2.290845537E-1,1.093532677E0,3.912202424E-1,1.183784915E0
2.116809291E0,-1.121908191E-1,8.753803696E-1,5.872072166E-1,1.060042398E0
2.126762291E0,6.673602641E-2,6.411309703E-1,8.123086470E-1,1.036989854E0
2.136715292E0,2.341327474E-1,4.662818268E-1,1.113382366E0,1.229576015E0
2.146667291E0,3.424740520E-1,3.927004650E-1,1.539632108E0,1.625413535E0
2.156620292E0,4.128947014E-1,3.289568974E-1,2.127364404E0,2.191888223E0
2.166573292E0,4.892210385E-1,-1.584047265E-1,2.743142871E0,2.790924953E0
2.176526291E0,5.043732208E-1,-9.432754603E-1,3.070142559E0,3.251143840E0
2.186479291E0,4.092793679E-1,-1.392717014E0,3.119714668E0,3.440899576E0
2.196431291E0,2.375992692E-1,-1.268750487E0,3.088309858E0,3.347213616E0
2.206384291E0,-2.745852470E-2,-7.740893452E-1,2.964982724E0,3.064488675E0
2.216337292E0,-3.338277742E-1,-2.328263332E-1,2.862549446E0,2.891338516E0
2.226290292E0,-5.936055323E-1,2.863555460E-1,2.766531733E0,2.843952330E0
2.236243291E0,-7.171343949E-1,6.330825703E-1,2.710856300E0,2.874685576E0
2.246196291E0,-6.447888422E-1,5.365595117E-1,2.700375751E0,2.827662985E0
2.256148291E0,-4.259225902E-1,1.577586092E-1,2.485342056E0,2.526504100E0
2.266101291E0,-1.416338888E-1,-3.096678101E-1,2.070106130E0,2.097926047E0
2.276054292E0,4.599068999E-2,-7.166005442E-1,1.812445064E0,1.949509834E0
2.286007292E0,1.131313437E-1,-9.955918144E-1,1.692883537E0,1.967195067E0
2.295960291E0,1.030475280E-1,-1.078569213E0,1.557356772E0,1.897179606E0
2.305912292E0,-1.892919123E-2,-9.939512318E-1,1.470860081E0,1.775310323E0
2.315865291E0,-2.240214497E-1,-8.256136939E-1,1.361611288E0,1.608045050E0
2.325818291E0,-5.144263387E-1,-6.463563345E-1,1.313492212E0,1.551667735E0
2.335771292E0,-7.500758538E-1,-4.617993513E-1,1.237773693E0,1.519195886E0
2.345724292E0,-9.871500430E-1,-2.193566872E-1,1.033460868E0,1.445899004E0
2.355677291E0,-1.200370808E0,-3.442402035E-2,6.345679092E-1,1.358216302E0
2.365629292E0,-1.370074256E0,3.946432024E-2,1.185119516E-1,1.375756512E0
2.375582291E0,-1.478121738E0,5.408703715E-2,-3.652153355E-1,1.523532579E0
2.385535291E0,-1.502526847E0,9.212639093E-2,-8.465347391E-1,1.727048135E0
2.395488292E0,-1.447686980E0,2.129745975E-1,-1.246179650E0,1.922009233E0
2.405441292E0,-1.389786097E0,3.402269670E-1,-1.618178340E0,2.160037251E0
2.415393292E0,-1.279638003E0,3.864924762E-1,-1.969934555E0,2.380649492E0
2.425346292E0,-1.130989209E0,4.142255276E-1,-2.250292173E0,2.552358565E0
2.435299291E0,-9.343678120E-1,3.589439043E-1,-2.366447697E0,2.569427686E0
2.445252291E0,-7.959428751E-1,2.870656903E-1,-2.369485325E0,2.516027122E0
2.455205292E0,-7.427446148E-1,3.083043855E-1,-2.370635473E0,2.503324530E0
2.465158292E0,-7.118277544E-1,2.151428913E-1,-2.384394556E0,2.497663431E0
2.475110292E0,-7.453758618E-1,-5.700318977E-2,-2.317245131E0,2.434842816E0
2.485063292E0,-7.340843037E-1,-3.599854396E-1,-2.136162125E0,2.287281772E0
2.495016291E0,-6.053233525E-1,-5.400469373E-1,-1.989331523E0,2.148373097E0
2.504969291E0,-4.210176533E-1,-6.126136610E-1,-1.835840358E0,1.980621413E0
2.514922292E0,-2.635989136E-1,-6.553519835E-1,-1.687028135E0,1.828943558E0
2.524875292E0,-1.970494133E-1,-6.852639998E-1,-1.611850483E0,1.762520128E0
2.534827291E0,-2.246035400E-1,-7.252406824E-1,-1.467144760E0,1.651948711E0
2.544780292E0,-2.624487662E-1,-7.237516889E-1,-1.310043524E0,1.519509755E0
2.554733291E0,-3.219509098E-1,-6.393662806E-1,-1.237190140E0,1.429363870E0
2.564686291E0,-3.767977926E-1,-5.853342804E-1,-1.228649113E0,1.412151351E0
2.574639292E0,-4.077541217E-1,-6.175194749E-1,-1.140670152E0,1.359677212E0
2.584591291E0,-3.152178410E-1,-6.881034809E-1,-1.025464801E0,1.274530009E0
2.594544291E0,-1.008606693E-1,-7.972791101E-1,-9.564729184E-1,1.249266704E0
2.604497292E0,6.028683990E-2,-8.696195465E-1,-9.004875827E-1,1.253295873E0
2.614450291E0,1.429711470E-1,-9.406506452E-1,-8.649791962E-1,1.285866787E0
2.624403291E0,1.567811009E-1,-1.088239631E0,-7.814558136E-1,1.348895473E0
2.634356291E0,1.292024159E-1,-1.291192978E0,-6.641577441E-1,1.457730455E0
2.644308291E0,1.363661322E-1,-1.545121474E0,-4.628690994E-1,1.618716743E0
2.654261291E0,1.966289985E-1,-1.767308067E0,-1.183570004E-1,1.782147341E0
2.664214292E0,2.472240785E-1,-1.830930451E0,1.237639207E-1,1.851686682E0
2.674167291E0,2.757520589E-1,-1.841309697E0,2.564109313E-1,1.879416709E0
2.684120291E0,2.730579543E-1,-1.862637855E0,5.003415656E-1,1.947901976E0
2.694073291E0,2.393057790E-1,-1.788085563E0,6.852632689E-1,1.929793508E0
2.704025291E0,1.442505178E-1,-1.624925442E0,6.638343930E-1,1.761211801E0
2.713978291E0,7.432425052E-2,-1.511479372E0,6.540941012E-1,1.648615504E0
2.723931292E0,2.847038537E-2,-1.375572100E0,6.823034084E-1,1.535756200E0
2.733884291E0,9.450591534E-2,-1.217099108E0,7.024868274E-1,1.408456371E0
2.743837291E0,4.250580794E-1,-1.269558718E0,8.653920096E-1,1.594163430E0
2.753790291E0,8.857499680E-1,-1.868208790E0,1.212403209E0,2.396805922E0
2.763742291E0,1.301104301E0,-2.810053144E0,1.642445455E0,3.505267200E0
2.773696083E0,1.612030285E0,-3.527770214E0,2.023078728E0,4.374545904E0
2.783649083E0,1.728626104E0,-3.616954871E0,2.200797831E0,4.573185087E0
2.793602083E0,1.573866093E0,-3.114566195E0,2.319838956E0,4.190373473E0
2.803555083E0,1.095863815E0,-2.175097711E0,2.195217834E0,3.278863963E0
2.813508083E0,4.427374282E-1,-1.093591441E0,1.857780281E0,2.200751290E0
2.823460083E0,-1.543618155E-1,-2.273086081E-1,1.688281778E0,1.710494705E0
2.833413083E0,-6.375979364E-1,3.424234736E-1,1.449521252E0,1.620153333E0
2.843366083E0,-1.050392650E0,5.665406714E-1,1.041761575E0,1.584159156E0
2.853319083E0,-1.275390585E0,4.989358950E-1,5.413141751E-1,1.472609659E0
2.863272083E0,-1.278396346E0,3.199309891E-1,1.172466141E-1,1.323026766E0
2.873225083E0,-9.951580971E-1,8.997300759E-2,-3.268710494E-2,9.997515828E-1
2.883177083E0,-4.272920081E-1,-2.328703335E-1,-8.192767739E-2,4.934766425E-1
